"","word1","word2"
"790","as","they"
"791","but","if"
"792","full","of"
"793","give","you"
"794","in","which"
"795","it’","a"
"796","last","week"
"797","number","of"
"798","should","have"
"799","the","week"
"800","think","the"
"801","to","follow"
"802","to","his"
"803","as","if"
"804","away","from"
"805","becaus","they"
"806","but","he"
"807","dont","want"
"808","gonna","be"
"809","here","in"
"810","i","never"
"811","if","we"
"812","is","like"
"813","know","you"
"814","lack","of"
"815","me","know"
"816","the","two"
"817","what","are"
"818","work","for"
"819","would","love"
"820","a","bad"
"821","a","beauti"
"822","a","chanc"
"823","and","for"
"824","are","go"
"825","befor","i"
"826","close","to"
"827","continu","to"
"828","find","out"
"829","know","if"
"830","mother","day"
"831","my","head"
"832","not","in"
"833","onli","a"
"834","out","with"
"835","plan","to"
"836","see","it"
"837","the","love"
"838","the","middl"
"839","the","point"
"840","to","chang"
"841","to","eat"
"842","until","the"
"843","welcom","to"
"844","you","just"
"845","a","book"
"846","and","was"
"847","even","if"
"848","for","his"
"849","for","those"
"850","get","out"
"851","go","back"
"852","have","some"
"853","in","her"
"854","it","come"
"855","me","that"
"856","no","longer"
"857","not","have"
"858","on","our"
"859","or","not"
"860","order","to"
"861","place","to"
"862","put","it"
"863","sinc","i"
"864","than","a"
"865","to","him"
"866","turn","out"
"867","use","it"
"868","work","in"
"869","a","nice"
"870","and","what"
"871","be","an"
"872","he","would"
"873","i","believ"
"874","im","in"
"875","in","front"
"876","just","want"
"877","like","you"
"878","me","in"
"879","say","it"
"880","the","door"
"881","to","stay"
"882","what","to"
"883","when","she"
"884","would","like"
"885","against","the"
"886","amount","of"
"887","and","how"
"888","had","the"
"889","how","you"
"890","i","say"
"891","just","like"
"892","not","go"
"893","read","the"
"894","the","worst"
"895","they","will"
"896","thing","to"
"897","to","them"
"898","what","they"
"899","year","of"
"900","and","has"
"901","becaus","the"
"902","come","on"
"903","dont","think"
"904","follow","back"
"905","get","back"
"906","him","and"
"907","how","are"
"908","how","do"
"909","i","rememb"
"910","in","all"
"911","is","there"
"912","it","look"
"913","long","as"
"914","mani","peopl"
"915","out","on"
"916","remind","me"
"917","the","lord"
"918","the","old"
"919","time","in"
"920","type","of"
"921","we","do"
"922","with","that"
"923","about","this"
"924","across","the"
"925","am","not"
"926","and","let"
"927","and","make"
"928","and","when"
"929","as","an"
"930","at","my"
"931","come","in"
"932","do","with"
"933","enjoy","the"
"934","for","her"
"935","for","him"
"936","for","their"
"937","for","us"
"938","get","some"
"939","have","ani"
"940","high","school"
"941","i","decid"
"942","im","gonna"
