"","word1","word2"
"754","peopl","make"
"755","rt","love"
"756","social","network"
"757","still","get"
"758","take","one"
"759","two","hour"
"760","u","got"
"761","work","day"
"762","came","back"
"763","can","pleas"
"764","come","join"
"765","first","year"
"766","follow","you"
"767","get","way"
"768","go","tri"
"769","i","love"
"770","id","like"
"771","it","thank"
"772","ive","never"
"773","just","call"
"774","just","came"
"775","just","give"
"776","just","good"
"777","know","im"
"778","know","mean"
"779","need","follow"
"780","new","album"
"781","quit","bit"
"782","s","s"
"783","saturday","morn"
"784","sever","time"
"785","still","love"
"786","tast","like"
"787","time","now"
"788","want","tri"
"789","will","bring"
"790","work","get"
"791","can","now"
"792","come","up"
"793","day","weekend"
"794","even","get"
"795","first","half"
"796","get","littl"
"797","get","right"
"798","go","check"
"799","good","you"
"800","great","show"
"801","great","week"
"802","hard","get"
"803","hear","it"
"804","hope","good"
"805","it","one"
"806","just","bought"
"807","last","two"
"808","look","around"
"809","love","show"
"810","much","easier"
"811","need","stop"
"812","park","lot"
"813","realli","get"
"814","realli","know"
"815","realli","nice"
"816","say","i"
"817","suprem","court"
"818","thing","come"
"819","watch","it"
"820","alway","get"
"821","alway","want"
"822","believ","it"
"823","can","feel"
"824","credit","card"
"825","everi","night"
"826","four","year"
"827","get","enough"
"828","get","there"
"829","go","great"
"830","keep","go"
"831","keep","us"
"832","know","feel"
"833","know","need"
"834","last","tweet"
"835","make","thing"
"836","one","go"
"837","one","love"
"838","peopl","follow"
"839","pretti","cool"
"840","realli","make"
"841","school","year"
"842","take","back"
"843","three","time"
"844","will","just"
"845","yet","anoth"
"846","you","know"
"847","can","put"
"848","chang","life"
"849","day","ago"
"850","go","one"
"851","holi","spirit"
"852","it","hard"
"853","just","happen"
"854","know","do"
"855","like","make"
"856","littl","thing"
"857","long","way"
"858","love","too"
"859","make","decis"
"860","new","book"
"861","now","think"
"862","one","just"
"863","press","releas"
"864","realli","look"
"865","see","peopl"
"866","stay","home"
"867","time","start"
"868","want","give"
"869","will","be"
"870","will","say"
"871","will","still"
"872","civil","war"
"873","come","across"
"874","come","check"
"875","come","in"
"876","differ","way"
"877","friend","mine"
"878","get","know"
"879","get","wrong"
"880","harri","potter"
"881","high","recommend"
"882","human","right"
"883","im","still"
"884","like","say"
"885","open","door"
"886","peopl","go"
"887","pick","up"
"888","prime","minist"
"889","realli","appreci"
"890","realli","excit"
"891","say","anyth"
"892","say","love"
"893","see","one"
"894","six","month"
"895","still","go"
"896","sunday","night"
"897","thank","come"
"898","thank","shout"
"899","think","peopl"
"900","time","just"
"901","today","day"
"902","u","follow"
"903","u","need"
"904","will","play"
"905","will","start"
"906","work","togeth"
"907","yr","old"
"908","birthday","parti"
"909","came","home"
"910","can","give"
"911","day","like"
"912","everi","week"
"913","everyon","go"
"914","get","thing"
"915","glad","hear"
"916","go","way"
"917","go","well"
"918","help","make"
"919","home","work"
"920","it","think"
"921","know","good"
"922","noth","els"
"923","now","will"
"924","one","hand"
"925","one","mani"
"926","open","day"
"927","realli","go"
"928","set","asid"
"929","start","pm"
"930","tell","me"
"931","tell","peopl"
"932","that","just"
"933","tri","hard"
"934","tri","new"
"935","u","think"
"936","video","game"
"937","wait","hear"
"938","wake","up"
"939","way","start"
"940","will","know"
"941","came","across"
"942","can","it"
"943","can","keep"
"944","can","work"
"945","chocol","chip"
"946","day","come"
"947","farmer","market"
"948","get","involv"
"949","gift","card"
"950","great","work"
"951","hip","hop"
"952","im","sorri"
